address,zone,collection_day
136 ASHLAND AVE,Zone 1,Monday
142 ASHLAND AVE,Zone 1,Monday
144 ASHLAND AVE,Zone 1,Monday
146 ASHLAND AVE,Zone 1,Monday
152 ASHLAND AVE,Zone 1,Monday
154 ASHLAND AVE,Zone 1,Monday
160 ASHLAND AVE,Zone 1,Monday
162 ASHLAND AVE,Zone 1,Monday
164 ASHLAND AVE,Zone 1,Monday
166 ASHLAND AVE,Zone 1,Monday
170 ASHLAND AVE,Zone 1,Monday
178 ASHLAND AVE,Zone 1,Monday
180 ASHLAND AVE,Zone 1,Monday
204 ASHLAND AVE,Zone 1,Monday
210 ASHLAND AVE,Zone 1,Monday
216 ASHLAND AVE,Zone 1,Monday
222 ASHLAND AVE,Zone 1,Monday
230 ASHLAND AVE,Zone 1,Monday
234 ASHLAND AVE,Zone 1,Monday
236 ASHLAND AVE,Zone 1,Monday
43 ASHLAND AVE,Zone 1,Monday
101 ASHLAND AVE,Zone 1,Monday
105 ASHLAND AVE,Zone 1,Monday
107 ASHLAND AVE,Zone 1,Monday
113 ASHLAND AVE,Zone 1,Monday
117 ASHLAND AVE,Zone 1,Monday
119 ASHLAND AVE,Zone 1,Monday
127 ASHLAND AVE,Zone 1,Monday
131 ASHLAND AVE,Zone 1,Monday
135 ASHLAND AVE,Zone 1,Monday
139 ASHLAND AVE,Zone 1,Monday
141 ASHLAND AVE,Zone 1,Monday
143 ASHLAND AVE,Zone 1,Monday
145 ASHLAND AVE,Zone 1,Monday
147 ASHLAND AVE,Zone 1,Monday
155 ASHLAND AVE,Zone 1,Monday
7 HIGHLAND AVE,Zone 1,Monday
205 ASHLAND AVE,Zone 1,Monday
211 ASHLAND AVE,Zone 1,Monday
229 ASHLAND AVE,Zone 1,Monday
233 ASHLAND AVE,Zone 1,Monday
1108 ASHTON RD,Zone 2,Tuesday
1110 ASHTON RD,Zone 2,Tuesday
1112 ASHTON RD,Zone 2,Tuesday
1105 ASHTON RD,Zone 2,Tuesday
1109 ASHTON RD,Zone 2,Tuesday
1115 ASHTON RD,Zone 2,Tuesday
1119 ASHTON RD,Zone 2,Tuesday
1121 ASHTON RD,Zone 2,Tuesday
1125 ASHTON RD,Zone 2,Tuesday
1129 ASHTON RD,Zone 2,Tuesday
1133 ASHTON RD,Zone 2,Tuesday
1135 ASHTON RD,Zone 2,Tuesday
1134 ASHTON RD,Zone 2,Tuesday
1140 ASHTON RD,Zone 2,Tuesday
1146 ASHTON RD,Zone 2,Tuesday
102 E ATHENS AVE,Zone 3,Wednesday
104 E ATHENS AVE,Zone 3,Wednesday
106 E ATHENS AVE,Zone 3,Wednesday
124 E ATHENS AVE,Zone 3,Wednesday
126 E ATHENS AVE,Zone 3,Wednesday
214 E ATHENS AVE,Zone 3,Wednesday
218 E ATHENS AVE,Zone 3,Wednesday
316 E ATHENS AVE,Zone 3,Wednesday
402 E ATHENS AVE,Zone 3,Wednesday
416 E ATHENS AVE,Zone 3,Wednesday
420 E ATHENS AVE,Zone 3,Wednesday
470 E ATHENS AVE,Zone 3,Wednesday
27 E ATHENS AVE,Zone 2,Wednesday
35 E ATHENS AVE,Zone 2,Wednesday
115 E ATHENS AVE,Zone 3,Wednesday
119 E ATHENS AVE,Zone 3,Wednesday
201 E ATHENS AVE,Zone 3,Wednesday
205 E ATHENS AVE,Zone 3,Wednesday
211 E ATHENS AVE,Zone 3,Wednesday
217 E ATHENS AVE,Zone 3,Wednesday
219 E ATHENS AVE,Zone 3,Wednesday
225 E ATHENS AVE,Zone 3,Wednesday
441 E ATHENS AVE,Zone 3,Wednesday
445 E ATHENS AVE,Zone 3,Wednesday
447 E ATHENS AVE,Zone 3,Wednesday
449 E ATHENS AVE,Zone 3,Wednesday
453 E ATHENS AVE,Zone 3,Wednesday
461 E ATHENS AVE,Zone 3,Wednesday
463 E ATHENS AVE,Zone 3,Wednesday
467 E ATHENS AVE,Zone 3,Wednesday
471 E ATHENS AVE,Zone 3,Wednesday
8 W ATHENS AVE,Zone 2,Wednesday
10 W ATHENS AVE,Zone 2,Wednesday
12 W ATHENS AVE,Zone 2,Wednesday
14 W ATHENS AVE,Zone 2,Wednesday
16 W ATHENS AVE,Zone 2,Wednesday
18 W ATHENS AVE,Zone 2,Wednesday
20 W ATHENS AVE,Zone 2,Wednesday
1 W ATHENS AVE,Zone 2,Wednesday
1 1/2 W ATHENS AVE,Zone 2,Wednesday
3 W ATHENS AVE,Zone 2,Wednesday
3 1/2 W ATHENS AVE,Zone 2,Wednesday
5 W ATHENS AVE,Zone 2,Wednesday
7 W ATHENS AVE,Zone 2,Wednesday
9 W ATHENS AVE,Zone 2,Wednesday
11 W ATHENS AVE,Zone 2,Wednesday
13 W ATHENS AVE,Zone 2,Wednesday
